# t_m M M/M0 (M-M1)/M0
9.923286228832544839e-03 1.263774636007885192e+03 1.376390093949725725e-03 2.476350336430173331e-19
1.031283160672184784e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
1.071766885445503414e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
1.113839826482618256e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
1.157564369553303572e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
1.203005349423324176e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
1.250230145991455995e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
1.299308784200414561e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
1.350314037869872197e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
1.403321537605484691e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
1.458409882943986248e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
1.515660758900601313e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
1.575159057091621295e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
1.636993001611701873e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
1.701254279852589327e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
1.768038178457205165e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
1.837443724610724957e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
1.909573832878096525e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
1.984535457805803108e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
2.062439752514092645e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
2.143402233514854482e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
2.227542951999556334e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
2.314986671851160943e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
2.405863054644066801e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
2.500306851906321237e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
2.598458104929247253e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
2.700462352420682222e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
2.806470846309838674e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
2.916640776023700712e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
3.031135501567576093e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
3.150124795755327584e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
3.273785095948576751e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
3.402299765678064303e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
3.535859366535176046e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
3.674661940736687754e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
3.818913304781854090e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
3.968827354637157606e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
4.124626382901348115e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
4.286541408420924820e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
4.454812518844988856e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
4.629689226627267673e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
4.811430839003254245e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
5.000306842491089587e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
5.196597302486197223e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
5.400593278542373948e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
5.612597255954965975e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
5.832923594286200386e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
6.061898993497571997e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
6.299862978380693646e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
6.547168402004729937e-02 1.263774636007884965e+03 1.376390093949725509e-03 0.000000000000000000e+00
